system	Dzień dobry, witamy w restauracji pi-zza w czym mogę pomóc	welcomemsg()
user	dzien dobry, chciałbym dowiedziec sie, jakie dania są w waszym menu	request(menu)
system	W menu posiadamy pozycje pizz w wielu smakach i rozmiarach	inform(menu)
system	Czy ma Pan na coś dzisiaj szczególną ochotę?	request(predispositions)
user	tak	confirm(predispositions)
system	a na co request(predispositions)
user	hmmm..... małże	inform(predispositions=['małże'])
system	obawiam się, że w ofercie nie posiadamy takiego produktu deny(predispositions=['małże'])
user	a homara?	inform(predispositions=['homer'])
system	obawiam się że również nie	deny(predispositions=['homer'])
user	dobrze. w takim razie czy posiadaja panstwo certyfikat avpn	request(certificate=avpn)
system	obawiam się że nie posiadamy takiego certyfikatu	deny(certificate=avpn)
user	rozumie, w takim razie chcaiłbym pizze z krązkami cebulowymi	inform(predispositions=['pizza z krążkami cebulowymi'])
user	sa takie w ofercie?	request(predispositions)
system	nie mamy natomiast możemy taką przygotować dla Pana	confirm(predispositions)
system	czy mają się na niej znaleźć jakieś dodatkowe składniki? request(additional_ingredients)
user	dobrze, mozarella salami i kukurydza	confrim(additional_ingredients)&inform(additional_ingredients=['mozarella', 'salami', 'kukurydza'])
system	oczywiście, pizza mała czy duża?	confirm(additional_ingredients)&select(size_of_pizza=['mała', 'duża'])
user	duza	inform(size_of_pizza='duża')
system	dobrze czy coś oprócz tego?	request(anything_else)
user	cole	inform(order=['custom_pizza', 'cola'])
system	oczywiście, zatem pizza z dodatkowym salami i kukurydzą oraz cola, czy to wszystko?	affirm(order=['custom_pizza', 'cola'])
user	tak	confirm(order)
system	czy zamowienie na miejscu na dowoz czy na wynos	select(delivery=['na miejscu', 'na dowóz', 'na wynos'])
user	dowoz	inform(delivery='na dowóz')
user	ulica xgh 24	inform(adres='ulica xgh 24')
system	oczywiscie, platnosc online czy przy odbiorze select(payment=['online', 'przy odbiorze'])
user	przy odbiorze, akceptujecie kamienie szlachetne?	inform(payment='przy odbiorze')&request(payment_method='kamienie szlachetne')
system	obawiam się że nie, płatność akceptujemy jedynie w polskich złotych deny(ppayment_method='kamienie szlachetne')
user	w takim razie przy odbiorze karta	inform(payment_method='karta płatnicza')
system	oczywiście, czas oczekiwania wynosi do godziny	inform(cooking_time='1h')
user	to czekam, do widzenia	ack(cooking_time='1h')&bye()
system	do widzenia	bye()
