user	Dzień dobry	hello()
system	Dzień dobry, w czym mogę pomóc?	welcomemsg()
user	Czy mógłbym u pana złożyć zamówienie?	request(order='possible')
system	jak najbardziej	affirm()
user	Swietnie, czy macie dzisiaj coś godne polecenia? Zupa lub danie dnia?	request(offer)
system	w polecanych mamy pizzę vesuvio oraz zupę krem z pomidorów	offer(order=['pizza_vesuvio','tomato_soup'])
user	Poproszę pizze Vesuvio oraz Cole	inform(order=['pizza_vesuvio','cola'])
system	oczywiście, czy będzie to na miejscu, na dowóz czy na wynos?	affirm()&select(receive=['for_here','to_go','delivery'])
user	na wynos podjadę za około 30 min? Zdążycie?	inform(receive='to_go')&request(time='30 minutes')
system	obawiam się że nie, zamówienie może być gotowe najprędzej za 50 minut z uwagi dużego obłożenia	negate()&inform(time='50 minutes')
user	w porządku 50 min jest okej	confirm()
system	dobrze. na jakie nazwisko zamówienie?	request(name)
user	Nazwisko Kowalski	inform(name='Kowalski')
system	dobrze zatem pizza vesuvio oraz cola na godzine xx:xx	inform(order)
system	zamowienie wynosi xx złotych, platnosc online czy na miejscu?	inform(price='xx zł')&select(payment=['online','on_receipt'])
user	Na miejscu	inform(payment='on_receipt')
system	dobrze, to zatem wszystko, dziekujemy za zamowienie w naszej restauracji i do zobaczenia	affirm()&bye()
user	Dziekuje bardzo	thankyou()
