user	chciałbym zamówić coś do picia	inform(order='drink')
system	oczywiście, polecamy lemoniadę	affirm()&offer('lemonade')
user	w jakiej cenie??	request(price)
system	szklanka za 6 zł dzbanek za 16 zł	inform(price=['lemonade_glass','lemonade_jug'])	
user	a jakie sa dania główne?	request()
system	oferujemy pizze oraz inne dania kuchni włoskiej	inform(menu=['pizza','italian_cuisine'])
user	w jakiej cenie pizza?	request(price='pizza')
system	zależy od zamówienia lecz jest to w przedziale 20-35zł	inform(price='pizza')
user	która kosztuje najmniej?	request(product='pizza', price='cheapest')
system	najmniej kosztuje pizza margherita, w jej skład wchodzi ciasto ser i sos pomidorowy	inform(product='pizza_margherita')
user	w takim razie jedna margherita plus szklanka lemoniady	request(order=['pizza_margherita','lemonade'])
system	dobrze, czy zamowienie na miejscu na dowoz czy na wynos	affirm()&select(receive=['for_here','to_go','delivery'])
user	na dowoz głogowska 8080/100. ile musze czekać?	inform(receive='delivery', address='głogowska 8080/100')&request(wait_time)
system	czas oczekiwania wynosi do godziny, płatność online czy przy odbiorze	inform(wait_time='1 hour')&select(payment=['online','on receipt'])
user	płatność online	inform(payment='online')
system	dobrze, przesyłam odnośnik do płatności online, koszt zamowienia wynosi 26 zł	affirm()&inform(price='26 zł')
user	płacę	null()
system	dziękuję, płatność zarejestrowano	affirm()&inform(payment='successful')
system	dziękuję za zamówienie w naszej restauracji, do widzenia i życzę smacznego	bye()
