user	Dzień dobry	hello()
system	Dzień dobry, w czym mogę pomóc?	welcomemsg()
user	Chciałbym zamówić danie z kuchni tajskiej, czy oferują państwo ten rodzaj kuchni w swoim menu?	request(menu='thai_cuisine')
system	obawiam się że oferujemy jedynie pizze i inne dania kuchni włoskiej	negate(menu='thai_cuisine')&inform(menu=['pizza','italian_cuisine'])
user	Dobrze w takim razie chciałbym zamówić spaghetti	inform(order='spaghetti')
system	oczywiście, małe czy duże	affirm()&select(size=['small','big'])
user	Poproszę duże	inform(size='big')
system	dobrze, czy będzie to na miejscu, na dowóz czy na wynos?	affirm()&select(receive=['for_here','to_go','delivery'])
user	Poproszę o zamówienie na wynos, adres Gwarna 5 Poznań.	inform([receive='to_go',address='Gwarna 5 Poznań'])
system	dobrze, płatność online czy przy odbiorze?	affirm()&select(payment=['online','on_receipt'])
user	Przy odbiorze	inform(payment='on_receipt')
system	dobrze zatem duże spaghetti na dowóz z płatnościa, przy odbiorze, czy to już wszystko?	affirm&reqmore()
user	Tak dziękuję.	affirm()&thankyou()
system	Dobrze, dziękuję. Czas oczekiwania na zamówienie wynosi do godziny	affirm()&inform(wait_time='1 hour')
user	Jaki jest całkowity koszt zamówienia?	request(price)
system	koszt zamówienia wynosi xx złotych	inform(price)
user	Okej dziękuję to wszystko.	thankyou()&bye()
system	Dziękuję i do widzenia	bye()
