user	Dzień dobry	hello()
system	dzien dobry, witam w restauracji pi-zza, czy chciałby pan u nas cos zamowic?	welcomemsg()
user	Dzień dobry, jaka jest najpopularniejsza pizza w waszej restauracji?	hello()&request(most_popular_pizza)
system	Vercilana gromanesco - orzechy wloskie, ocet balsamiczny, rukola, camembert	infrom(most_popular_pizza)
user	Poproszę 2 takie pizze. I do tego wodę niegazowaną.	inform(order=['Vercilana gromanesco', 'Vercilana gromanesco', 'still water'])
system	95 złotych	inform(order_price)
system	na miejscu, na wynos, odbiór?	request(delivery)
user	Z odbiorem osobistym	inform(delivery='odbiór')
system	Da będzie gotowe w ciągu 45 minut. Dziękujemy za zaufanie do naszej restauracji.	inform(cooking_time)&bye()
user	Dobrze, dziękuję	bye()
