user	Dzień dobry, chciałbym złożyć zamówienie
system	Dzień dobry, co chciałby Pan zamówić?
user	A co Państwo dzisiaj mogą polecić?
system	Polecam dzisiejsze danie dnia - carbonarę.
user	Dobrze niech będzie. Do tego poproszę zupę grzybową oraz białe wino
system	Oczywiście. Carbonara, zupa grzybowa i białe wino zostały dodane do zamówienia. Czy mogę przejść do podsumowania?
user	Jasne, to wszystko jak dla mnie. Dziękuję bardzo!
system	1x Carbonara - 39.99, 1x Zupa grzybowa - 19.99, 1x Białe wino - 27.99. W sumie 87.97 zł. Czy akceptujesz?
user	Tak jak najbardziej.
system	Świetnie! Zamawiasz na miejscu czy na wynos?
user	na miejscu
system	Czy siedzisz już przy stoliku?
user	nie, będę za jakieś 20min
system	Zamówienie zostało złożone. Numer zamówienia to 222. Proszę podać ten numer w restauracji w celu identyfikacji.
