user	Dzień dobry.
system	Dzień dobry, jak masz na imię?
user	Piotr
system	Piotrze, witaj w restauracji PIzza. W czym mogę Ci pomóc?
user	Chciałbym zamówić pizzę
system	Czy znasz nasze menu i jesteś zdecydowany na konkretne danie?
user	nie znam, co mi jesteś w stanie zaproponować?
system	Wybierasz wariant z mięsem czy wegetariański?
user	z mięsem
system	Polecam pizzę nr 3 z szynką i pieczarkami.
user	prosiłbym o inną propozycję, bo nie lubię pieczarek
system	Rozumiem, polecam zatem pizzę z szynką i kukurydzą. Czy ten wariant Ci odpowiada?
user	tak!
system	Świetnie. Zamawiasz na miejscu czy na wynos?
user	na miejscu
system	Czy siedzisz już przy stoliku?
user	tak, stolik nr 12
system	Pizza z szynką i kukurydzą. Na miejscu - stolik nr 12. Cena 29,99 PLN. Korzystasz dziś z naszej specjalnej promocji. Oczekiwany czas realizacji zamówienia to 28'. Czy akceptujesz?
user	nie
user	poproszę jeszcze o sos czosnkowy
system	Sos czosnkowy w cenie 2.99 PLN za 100ml, czy akceptujesz?
user	tak
system	Świetnie, pozwól, że podeślę podsumowanie zamówienia: Pizza z szynką i kukurydzą - cena 29,99 PLN, Sos czosnkowy - cena 2.99 PLN. Łącznie: 32,98 PLN czy akceptujesz?
user	tak
system	Jaką metodę płatności wybierasz?
user	gotówka
system	Masz odliczoną kwotę czy powinniśmy przygotować się na wydanie od większego nominału?
user	mam 100 zł w jednym banknocie
system	Damy radę.
system	Przyjąłem zamówienie. Za kilka chwil nasz pracownik zgłosi się do Ciebie, aby rozliczyć transakcję.
system	Przybliżony czas realizacji to 15'. Możemy zaczynać?
user	tak
system	Super, przyjąłem zamówienie. Nasza kuchnia już się nim zajmuje.
system	Za chwilę zgłosi się do Ciebie pracownik, aby rozliczyć płatność.
user	super, dziekuje
system	To ja dziękuję, czy mogę jeszcze cos dla Ciebie zrobić?
user	nie, dziekuję
system	Dziękuję za odwiedziny. Od teraz obsługę przejmie nasz pracownik.
system	Jak oceniasz naszą komunikację dzisiaj?
user	11/10
system	Bardzo dziękuję. Zawsze pracujemy na 110%.
