user	Dzień dobry	hello()
system	Dzień dobry, w czym mogę pomóc?	welcomemsg()
user	Chciałbym zapytać o danie dnia, jakie jest dzisiaj?	request()
system	Pizza Vesuvio mała i zupa pomidorowa	offer(product=['pizza_vesuvio','tomato_soup'])
user	A  z jakich składników składa się pizza???	request(ingredients='pizza_vesuvio')
system	pizza oprócz składników podstawowych jakimi jest ciasto, ser i sos pomidorowy zawiera także szynkę i pieczarki	inform(ingredients='pizza_vesuvio')
user	O to super	null()
user	proszę w taki razie o 2 pizze vesuvio	inform(order=['pizza vesuvio','pizza vesuvio'])
user	czy jest możliwość dodatkowych składnikow?	request(extra_ingredients)
system	jak najbardziej	affirm()
user	poproszę w takim razie z podwójną ilością pieczarek oraz do picia lemoniadę	inform(extra_ingredients='mushrooms')&inform(order='lemonade')
system	oczywiście, czy będzie to na miejscu, na dowóz czy na wynos?	affirm()&select(receive=['for_here','to_go','delivery'])
user	Z odbiorem osobistym	inform(receive='to_go')
user	na nazwisko Kowalski	inform(name='Kowalski')
system	dobrze, zamówienie będzie gotowe do odbioru za 50 minut, płatność internetowo czy na miejscu?	affirm()&inform(time='50 minutes')&select(payment=['online','on receipt'])
user	Czy jest możliwość za pomocą apple pay?	request(payment='apple pay')
system	jak najbardziej, przesyłam link	affirm()
user	Bardzo dziękuję	thankyou()
user	Opłacono	confirm(payment)
system	Dobrze, zatem 2 pizze vesuvio z dodatkowymi pieczarkami i lemoniada na godzinę xx:xx, czy to wszystko?	inform(order),reqmore()
user	Tak to wszystko	confirm()
user	płatność gotówką z odbiorem osobistym	inform(payment='on receipt', receive='to_go')
system	zamówienie zostało już opłacone	inform(payment='confirmed')
