user	witaj	hello()
system	Witaj, co Cię do nas sprowadza?	welcomemsg()
user	Chciałbym zamówić pizze	inform(order='pizza')
user	czy posiada pan certyfikat avpn	request(certificate='avpn')
user	?	null()
system	Mamy pyszne pizze w ofercie. Czy znasz nasze menu czy coś zaproponować?	request(menu_is_known)
user	nie znam	inform(menu_is_known=false)
system	Niestety nie wiem co to certyfikat avpn	deny(certificate='avpn')
system	Ale mogę zapewnić, że nasi pracownicy zrobią wszystko, żeby przygotować przepyszne danie.	confirm(quality='the best')
user	rozumiem, a jaka pan poleca?	confirm(quality='the best')&request(recommended_dish)
system	Wolisz z mięsem czy wege?	request(recommended_dish='with meat or without')
user	miesne	inform(recommended_dish='with meat')
system	Proponuję pizzę z szynką i ananasem za 39,99 PLN	inform(recommended_dish='pizza hawajska')
user	potrójna szynka i bez ananasa	inform(order=['pizza hawajska'], order_no_ingredients=['ananas'], order_additional_ingredients='3x szynka')
user	dodatkowo ser	inform(order_additional_ingredients=['ser'])
system	Zatem zmieniam na kompozycję własną: pizza margeritta + 3x szynka i dodatkowy ser. Cena: 89,99 PLN. Czy akceptujesz?	confirm(order)&inform(order_price)&request(acceptation)
user	za drogo, rezygnuje z zamówienia	inform(too_expensive, drop_order)
system	Rozumiem. Czy chcesz zostawić swój e-mail, abym mógł poinformować Cię o przyszłych promocjach?	confirm(drop_order)&reqest(email_permmision)
user	nie, do widzenia	deny(email_permmision)&bye()
system	Do widzenia i zapraszamy ponownie!	bye()
