user	dzień dobry
system	Witamy w systemie rezerwacji pokoi hotelowych.
user	chciałbym zarezerwować pokój dwuosobowy na dni 25-28 marca 2023
system	Dobrze, w jakiej miejscowości chciałby Pan zarezerwować pokój?
user	w Poznaniu
system	Dobrze czy ma Pan jeszcze dodatkowe wymagan... autorstwa Maciej Tyczyński
user	balkon w pokoju, bar w hotelu
system	Dobrze, czy zainteresuje Pana 4 gwiazdkowy hotel xyz znajdujący się 2 km od rynku, który posiada balkon, bar oraz wliczone śniadanie w cenę?
user	zależy ile kosztuje
system	Hotel xyz kosztuje 220 zł za dobę.
user	brzmi dobrze
system	Dobrze, rezerwacja w hotelu xyz na termin 25.03.23 - 28.03.23 została zrobiona. Numer rezerwacji 987654321
user	dziękuję
