user	Dzień dobry	hello()
system	dzien dobry, witamy w piz-zerii. W czym mozemy służyć?	welcomemsg()
user	Chciałabym zamówić pizzę, Margharitę	inform(order=['margharita'])
system	duza, srednia, mała?	select(size_of_pizza=['mała', 'średnia', 'duża'])
user	duża	inform(size_of_pizza='duża')
user	na miejscu	inform(delivery='na miejscu')
system	dobrze, cos do picia?	request(something_to_drink)
user	czy jest dostępna lemoniada?	reqest(drink='lemioniada')
system	tak, z miętą	confirm(drink='lemoniada')
user	to poproszę	confirm(something_to_drink='lemoniada')
system	dobrze, 50 złotych, czas oczekiwania 40 minut	confirm(order)&inform(order_price='50zł, cooking_time='40 minut')
user	dobrze, dziękuję bardzo	confirm(order)
system	do widzenia	bye()
user	Do widzenia	bye()
