user	Dzień dobry, jakie danie pani poleca?	hello()&request(recomendation_dish)
system	Dzień dobry, dzisiaj polecam pizzę oraz krem pomidorowy.	welcomemsg()&inform(recomendation_dish)
user	myśle, ze pizza to jest to. Czy maja panstwo pizze z serem pleśniowym?	confirm(pizza)&request(pizza_additional_ingredients='ser pleśniowy')
system	Tak, mamy	confirm(pizza_additional_ingredients='ser pleśniowy')
user	oo, z jakimi skladnikami?	request(pizza_ingredients)
system	sos pomidorowy, ser mozarella, gruszka karmelizowana, ser pleśniowy oraz rukola	inform(pizza_ingredients=['sos pomidorowy', 'ser mozarella', 'ser pleśniowy', 'rukola'])
user	dobrze, własnie taka chciałem	confirm(pizza_ingredients)
system	a jaki rozmiar pizzy, średnia czy duża?	select(pizza_size=['średnia', 'duża'])
user	średnia	confirm(pizza_size='średnia')
system	dobrze, coś do picia?	request(anything_else)
user	nie, to wszytsko	deny(anything_else)
system	dobrze, dziękuję bardzo	bye()
user	poprosze na dowoz	inform(delivery='dowóz')
user	ulica xrf 25	inform(adres='xrf 25')
system	dobrze, czas oczekiwania około godziny	confirm(delivery)&inform(delivery_time='1h')
user	dziekuje, do widzenia	thanks()&bye()
system	Dziękujemy bardzo!	bye()
