user	dzien dobry, czy poleci pan cos z menu?	hello()&requset(recomendation_dish)
system	Witamy w systemie rezerwacji pokoi hotelowych. Czy jest pan zainteresowany w konkretnym menu z restauracji z jednym z hoteli?	welcomemsg()
user	tak, czy sa wolne pokoje z ładnym widokiem dla 2 osob w przyszły weekend?	request(conditions=['2 osobowy', 'ładny widok '], date='przyszły weekend')
system	W jakiej miejscowości chciałby dokonać Pan rezerwacji?	request(city)
user	Warszawa	inform(city='Warszawa')
system	Dobrze, czy zainteresuje Pana 5 gwiazdowy hotel xyz w centrum Warszawy z widokiem na rynek, wliczonym śniadaniem oraz spa?	offer(hotel='xyz')
user	a mozna troche dalej, na rynku straszne halasy sa	inform(conditions=['dalej', 'mniejsze hałasy'])
system	Dobrze, może zainteresuje Pana hotel zzz 7 km od centrum z widokiem na jezioro?	offer(hotel='zzz')
user	tak, to jest to	confirm(hotel='zzz')
system	Dobrze, rezerwacja na termin 01.04.2023 - 02.04.2023 w hotelu zzz została zrobiona. Numer rezerwacji: 111333555	confirm(date='01.04.2023 - 02.04.2023', hotel='zzz')&inform(reservation='111333555')
user	potwierdzam	confirm(reservation='111333555')
system	Dziękuję, do zobaczenia!	thanks()&bye()
