user	Witaj, Czy polecasz jakaś pizze dzisiaj?	hello()&request(recomendation_dish='pizza')
system	Moja restauracja nie słynie z kuchni tradycyjnych, takich jak polska, włoska czy chińska. Reprezentuję firmę McZiomals, która oferuje głównie dania typu fast-food, w których niestety nie ma pizzy.	deny(recomendation_dish='pizza')
user	rozumiem, jakie fast foody posiadacie?	request(menu)
system	Oto oferta, którą posiadamy w naszym menu: https://cdn.mcdonalds.pl/uploads/20230308152915/349194-tabela-wo-9-03-2022-mop-1.pdf?openOutsideMcd=true	offer(menu)
user	jeden sShake o maku czekoladowym oraz McRoyal	inform(order=['shake o smaku czekoladowym', 'McRoyal'])
system	Dopisano pozycję Shake o smaku czekoladowym oraz kanapka McRoyal do Twojej listy. Czy chciałabyś dodać coś jeszcze?	confirm(order=['shake o smaku czekoladowym', 'McRoyal'])*request(anything_else)
user	nie	deny(anything_else)
system	Rozumiem, że Twoje zamówienie jest zakończone. Oto możliwe sposoby odbioru jedzenia: obiór osobisty, dostawa	confirm(order)&select(delivery=['odbiór osobisty', 'dostawa'])
user	dostawa	inform(delivery='dostawa')
system	Bardzo dziękuję za złożenie zamówienia. Sumarycznie Twoje zamówienie kosztuje 13,69zł. Wybrałeś dostawę do domu. Proszę o podanie adresu, na który nasza restauracja powinna dostarczyć zamówienie.	inform(order_price='13,69 zł')&confirm(order=['shake o smaku czekoladowym', 'McRoyal'], delivery='dostawa')&request(adres)
user	ulica uhn 12	inform(adres='uhn 12')
system	ozumiem, że ulica na którą mamy dostarczyć zamówienie to ulica uhn 12. Dostawą Twojego zamówienia zajmie się nasz doręczyciel Ahmed. Jedzenie powinno być w Twoich rękach za 30 minut. Dziękujemy za korzystanie z naszych usług.	confirm(adres='uhn 12')&inform(delivery_driver='Ahmed', delivery_time='30 min')&bye()
