user	cześć	hello()
system	Dzień dobry, witamy w restauracji PI-zza, w czym mogę pomóc?	welcomemsg()
user	chcialabym zamowic pizze	inform(order='pizza')
system	dobrze, czy będzie to na miejscu, na dowóz czy na wynos?	affirm()&select(receive=['for_here','to_go','delivery'])
user	na miejscu	inform(receive='for_here')
system	na ile osób zarezerwować stolik?	request(number_of_people)
user	dla 2	inform(number_of_people=2)
system	oczywiście, na jakie nazwisko i godzinę zapisać rezerwację?	affirm()&request(name, hour)
user	nazwisko XXXX i na godzine GG:MM 	inform(name='XXXX',hour='XX:XX')
system	zarejestrowano rezerwację. Jakie jest zatem Pani zamówienie?	affirm()&request(order)
user	pizza	inform(order='pizza')
system	czy ma może Pani jakieś dodatkowe preferencje? Jeśli nie możemy polecić pizzę vesuvio	reqmore()&offer(order='pizza_vesuvio')
user	z szynka i kukurydza	inform(extra_ingredients=['ham','corn'])
system	czy ma być mała czy duża?	select(size=['small','large'])
user	duza	inform(size='large')
system	dobrze, czy może chcą Państwo coś do picia? Polecamy lemoniadę	offer(order='lemonade')
user	poprosze 2	inform(order='lemonade'*2)
system	2 lemoniady? oczywiście. zatem duża pizza z dodatkową szynka i kukurydza oraz dwie lemoniady, czy to wszystko?	affirm&inform(order)
user	tak	ack()
system	dobrze, zamówienie będzie zatem przygotowane na godzinę podaną w rezerwacji, dziękuję i do zobaczenia.	bye()
