system	Witaj w restauracji PIzza. W czym mogę Ci pomóc?
user	Możesz mi podać menu pizzy?
system	margharita - 20zł, pepperoni - 23zł, hawajska - 23zł, funghi - 24zł
user	poproszę funghi
user	czy mogę domówić napój alkocholowy do tego?
system	Oczywiście. Co Pan sobie życzy?
user	Piwo Harnaś 2l poproszę do tego
system	Niestety nie ma pozycji "Piwo Harnaś 2l" w naszym menu. Mogę zaproponować 4x "Piwo Harnaś 0.5L".
user	Ok to poproszę 4x piwo Harnaś 0.5l
system	4 x "Piwo Harnaś 0.5L" zostało dodane do zamówienia. Czy coś jeszcze dodać do zamówienia?
